ProfileName,TransactionDate,TransactionAmount,TransactionNarrative,TransactionDescription,TransactionID,TransactionType,WalletReference
Card Campaign,1/12/2014 11:45,-5000,*MASUNGA                  MASUNGA       BW,DEDUCT,3.84012E+14,1,P_Nzc0NTQwNzBfMTM4Njc2MzAyMi40MDI4
Card Campaign,1/12/2014 11:45,-31500,347145 J B SPORTS KANYE   BOTSWANA      BW,DEDUCT,8.40123E+13,0,P_NzIxMjk1MzVfMTM4MDcxNDExMy44NjE1
Card Campaign,1/12/2014 11:46,-7000,MAUN                      MAUN          BW,DEDUCT,5.84012E+14,1,P_NzU3NzQ0OTZfMTM4NDI2MjYwNy45NDYy
Card Campaign,1/12/2014 11:49,-2995,Choppies Shakawe102545    Maun          BW,DEDUCT,2.84012E+14,0,P_NzY1NzM5OTZfMTM4NjMxMzU4OC40OTg5
Card Campaign,1/12/2014 11:53,-20000,SEROWE BRANCH 1           GABORONE      BW,DEDUCT,3.04012E+14,1,P_NzYzNjk4NzBfMTM4NzQ1OTA4Ny4wNTQ4
Card Campaign,1/12/2014 11:55,-5000,MOLEPOLOLE BRANCH 2       GABORONE      BW,DEDUCT,3.84012E+14,1,P_NzI4MzEzODhfMTM4NTk3NjgxNS42ODI5
Card Campaign,1/12/2014 11:55,-20000,*MOGODITSHANE2            MOGODITHSANE  BW,DEDUCT,3.04012E+14,1,P_NzUwNDg3ODdfMTM4MjUyMDA3Mi44MjM4
Card Campaign,1/12/2014 11:56,-15000,SENTHAGA G DEALE102613    MAUN          BW,DEDUCT,8.40124E+13,0,P_NzIxMjEwMDlfMTM3NjkxMDAwOC4yMDc0
Card Campaign,1/12/2014 12:00,-16000,Sunset Butchery 100343    Francistown   BW,DEDUCT,4.01243E+12,0,P_NzI4Njk3MTBfMTM4MTQ5MTEwNy4wNTMy
Card Campaign,1/12/2014 12:02,-100000,RIVERWALK MALL            GABORONE      BW,DEDUCT,3.04012E+14,1,P_NzIzMDIyNTVfMTM4MzE0MzAzNC44MzUx
Card Campaign,1/12/2014 12:03,-50000,RIVERWALK MALL            GABORONE      BW,DEDUCT,3.04012E+14,1,P_NzIzMDIyNTVfMTM4MzE0MzAzNC44MzUx
Card Campaign,1/12/2014 12:04,-5000,RILEYS GARAGE ATM         BOTSWANA      BW,DEDUCT,4.64012E+14,1,P_NzI5Mjc0MDhfMTM4Njc2NzE0OC44NjE0
Card Campaign,1/12/2014 12:06,-7440,Choppies Thamaga102339    Lobatse       BW,DEDUCT,2.84012E+14,0,P_NzI2MDk4NTdfMTM4NzYxMjYyOS4wNDEy
Card Campaign,1/12/2014 12:06,-20000,NO MATHATA                GABORONE      BW,DEDUCT,4.64012E+14,1,P_NzI3NjQ1MTdfMTM4OTI1NTcxMy40OTMz
